,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
10,achc,acadia,healthcare,company,inc,provider,behavioral,services,operations,united,states,kingdom,focuses,acquiring,developing,facilities,operates,two,segments,u,k,engaged,operating,acute,inpatient,psychiatric,specialty,treatment,residential,centers,providing,outpatient,december,segment,included,approximately,beds,puerto,rico,operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,achn,achillion,pharmaceuticals,inc,biopharmaceutical,company,engaged,discovery,development,small,molecule,drug,therapies,infectious,diseases,immune,system,disorders,focused,complement,inhibitor,platform,directed,advancing,compounds,potential,used,treatment,related,associated,alternative,pathway,part,human,innate,clinical,compound,ach,potent,specific,factor,demonstrated,complete,inhibition,healthy,volunteers,phase,trial,discovered,advanced,multiple,including,sovaprevir,odalasvir,hepatitis,c,virus,hcv,program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,aciw,aci,worldwide,inc,develops,markets,installs,supports,line,software,products,services,primarily,focused,facilitating,electronic,payments,company,also,distributes,acts,sales,agent,developed,third,parties,used,principally,financial,institutions,retailers,billers,payment,processors,domestic,international,sold,supported,distribution,networks,covering,three,geographic,regions,including,americas,europe,middle,east,africa,emea,asia,pacific,range,transaction,generating,endpoints,automated,teller,machines,atm,retail,merchant,point,sale,pos,terminals,bank,branches,corporations,internet,commerce,sites,provides,solutions,globally,banking,,,,,,,,,,,,,,
13,acst,acasti,pharma,inc,canada,based,biopharmaceutical,company,focused,research,development,commercialization,prescription,drugs,using,omega,fatty,acids,om,derived,krill,oil,clinical,evidence,safety,efficacy,lowering,triglycerides,patients,hypertriglyceridemia,htg,drug,candidate,capre,phospholipid,developed,treatment,severe,condition,characterized,abnormally,high,levels,bloodstream,mg,dl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,acnb,corporation,financial,holding,company,banking,operations,conducted,operating,subsidiary,bank,offers,range,property,casualty,life,health,insurance,commercial,individual,clients,russell,group,inc,rig,two,segments,managed,separately,segment,includes,related,services,nonbanking,subsidiaries,provides,individuals,businesses,including,retail,trust,investment,management,service,delivery,channels,customers,include,automated,teller,machine,atm,network,customer,contact,center,online,telephone,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,acor,acorda,therapeutics,inc,biopharmaceutical,company,focuses,developing,therapies,restore,function,improve,lives,people,neurological,disorders,december,marketed,three,united,states,food,drug,administration,fda,approved,including,ampyra,dalfampridine,extended,release,tablets,milligram,mg,treatment,walking,patients,multiple,sclerosis,ms,also,markets,zanaflex,capsules,short,acting,drugs,management,spasticity,qutenza,dermal,patch,neuropathic,pain,associated,post,herpetic,neuralgia,known,shingles,pipeline,addressing,range,parkinson,disease,migraine,product,candidate,cvt,self,administered,inhaled,formulation,levodopa,,,,,,,,,,,,,,,,,
16,adbe,adobe,inc,formerly,systems,incorporated,software,company,offers,products,services,used,professionals,marketers,knowledge,workers,application,developers,enterprises,consumers,creating,managing,measuring,optimizing,engaging,compelling,content,experiences,operates,three,segments,digital,media,experience,publishing,segment,provides,tools,solutions,enable,individuals,small,medium,businesses,create,publish,promote,monetize,advertising,marketing,created,managed,executed,measured,optimized,addresses,market,opportunities,ranging,diverse,authoring,needs,technical,business,legacy,type,original,equipment,manufacturer,printing,,,,,,,,,,,,,,,,,,,,,
17,actg,acacia,research,corporation,subsidiaries,invests,licenses,enforces,patented,technologies,company,operating,partner,inventors,patent,owners,applying,legal,technology,expertise,assets,unlock,financial,value,inventions,assist,prosecution,development,portfolios,protection,unauthorized,use,generation,licensing,revenue,users,necessary,enforcement,filing,infringement,litigation,control,rights,multiple,include,united,states,patents,certain,foreign,counterparts,covering,used,range,industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,adi,analog,devices,inc,designs,manufactures,markets,portfolio,solutions,leverage,high,performance,mixed,signal,digital,processing,technology,including,integrated,circuits,ics,algorithms,software,subsystems,products,include,converters,amplifiers,radio,frequency,power,management,reference,company,supplier,data,converter,product,line,also,includes,rf,dsps,used,speed,numeric,calculations,offers,applications,various,end,industrial,automotive,consumer,communications,operates,united,states,rest,north,south,america,europe,japan,china,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ades,advanced,emissions,solutions,inc,holding,company,family,companies,provide,customers,coal,fired,power,generation,industrial,boiler,cement,industries,provides,environmental,control,equipment,specialty,chemicals,burning,electric,industry,operates,two,segments,refined,rc,ec,segment,engaged,equity,method,investments,well,royalty,payment,streams,reducing,nitrogen,oxide,mercury,coals,related,include,clean,llc,owns,leases,sells,facilities,used,production,services,maintains,includes,systems,activated,carbon,injection,dry,sorbent,system,consulting,,,,,,,,,,,,,,,,,,,,,,
20,admp,adamis,pharmaceuticals,corporation,pharmaceutical,company,engaged,development,specialty,products,developing,various,allergy,respiratory,markets,including,dry,powder,inhaler,technology,acquired,product,portfolio,includes,epinephrine,pre,filled,syringe,pfs,apc,dpi,biotechnology,telob,vax,vaccine,lead,candidate,injection,usp,milligram,single,dose,designed,deliver,premeasured,milligrams,treatment,anaphylaxis,also,licensed,called,somatic,transgene,immunization,sti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,adma,biologics,inc,late,stage,biopharmaceutical,company,develops,manufactures,intends,market,specialty,plasma,based,treatment,prevention,infectious,diseases,engaged,development,commercialization,human,derived,therapeutics,segments,include,collection,centers,includes,operations,georgia,research,new,jersey,corporate,targeted,patient,populations,immune,compromised,individuals,suffering,underlying,deficiency,disorder,may,suppressed,medical,reasons,product,candidates,intended,used,physician,specialists,focused,caring,patients,risk,contracting,intravenous,immunoglobulin,candidate,ri,primary,disease,,,,,,,,,,,,,,,,,,,,,,,,,
22,adp,automatic,data,processing,inc,provider,human,capital,management,hcm,solutions,employers,offering,businesses,various,sizes,company,also,provides,business,process,outsourcing,segments,include,employer,services,professional,organization,peo,segment,offers,range,resources,hr,technology,enabled,offerings,payroll,benefits,administration,talent,time,attendance,insurance,retirement,tax,compliance,totalsource,small,mid,sized,solution,co,employment,model,client,continues,direct,day,job,related,duties,employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,adms,adamas,pharmaceuticals,inc,pharmaceutical,company,engaged,developing,medicines,manage,daily,lives,affected,chronic,neurologic,disorders,offers,platform,based,understanding,time,dependent,biologic,effects,disease,activity,drug,response,achieve,relief,without,tolerability,issues,developed,portfolio,chrono,synchronous,therapies,address,first,product,candidate,ads,amantadine,therapy,treatment,levodopa,induced,dyskinesia,lid,patients,parkinson,pd,completed,phase,ii,proof,concept,study,iii,clinical,program,included,three,placebo,controlled,trials,eased,ease,second,extended,release,version,single,agent,compound,epilepsy,partial,onset,seizures,,,,,,,,,,,
24,acls,axcelis,technologies,inc,designs,manufactures,services,ion,implantation,processing,equipment,used,fabrication,semiconductor,chips,company,also,provides,aftermarket,lifecycle,products,including,tools,spare,parts,upgrades,maintenance,customer,training,offers,complete,line,high,energy,current,medium,implanters,application,requirements,purion,xe,system,combines,radio,frequency,rf,linac,spot,beam,technology,platform,systems,offer,differentiation,specialty,applications,hot,silicon,carbide,h,extendable,ultra,low,satisfy,future,process,leakage,performance,,,,,,,,,,,,,,,,,,,,,,,
25,adxs,advaxis,inc,clinical,stage,biotechnology,company,focused,discovery,development,commercialization,listeria,monocytogenes,lm,listeriolysin,llo,cancer,immunotherapies,based,platform,technology,utilizes,live,attenuated,bioengineered,secrete,antigen,adjuvant,fusion,proteins,strains,integrate,multiple,functions,single,immunotherapy,access,direct,presenting,cells,stimulate,anti,tumor,cell,immunity,activate,immune,system,equivalent,adjuvants,simultaneously,reduce,protection,microenvironment,enable,eliminate,tumors,axalimogene,filolisbac,lead,product,candidate,treatment,human,papilloma,virus,associated,cancers,psa,targets,prostate,specific,,,,,,,,,,,,,,,,,,,
26,adtn,adtran,inc,provider,networking,communications,equipment,company,solutions,enable,voice,data,video,internet,across,range,network,infrastructures,operates,two,segments,services,amp,support,includes,software,hardware,products,csps,enterprise,customers,realize,fully,connected,world,provides,full,implementation,maintenance,managed,include,access,aggregation,customer,devices,traditional,used,service,providers,connect,infrastructure,subscribers,portfolio,within,category,modular,fixed,physical,form,factors,designed,deliver,technology,economic,fit,based,target,subscriber,density,environmental,conditions,,,,,,,,,,,,,,,,,,,,
27,adsk,autodesk,inc,design,software,services,company,offering,customers,productive,business,solutions,technology,products,segments,include,architecture,engineering,construction,aec,platform,emerging,pseb,manufacturing,mfg,media,entertainment,amp,e,serves,product,digital,industries,development,provides,manufacturers,automotive,transportation,industrial,machinery,consumer,building,offerings,autocad,lt,industry,collections,ds,max,maya,revit,inventor,civil,three,dimensional,cam,fusion,bim,shotgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,aegn,aegion,corporation,engaged,providing,infrastructure,protection,maintenance,company,operates,three,segments,solutions,corrosion,energy,services,offers,service,including,rehabilitation,water,wastewater,pipelines,insituform,cured,place,pipe,cipp,products,fusible,polyvinyl,chloride,fiber,reinforced,polymer,systems,strengthening,cathodic,engineering,control,coatings,prevention,high,density,polyethylene,hdpe,lining,abrasion,pipeline,construction,oil,gas,facilities,process,sewers,conduits,utilizes,custom,manufactured,tube,liner,made,synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,aeri,aerie,pharmaceuticals,inc,clinical,stage,pharmaceutical,company,engaged,discovery,development,commercialization,therapies,treatment,patients,glaucoma,diseases,eye,product,candidates,include,rhopressa,netarsudil,ophthalmic,solution,roclatan,latanoprost,designed,lower,intraocular,pressure,iop,open,angle,ocular,hypertension,daily,drop,inhibits,rho,kinase,rock,norepinephrine,transporter,net,biochemical,targets,lowering,fixed,dose,combination,prescribed,drug,conducting,phase,iii,trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,aeis,advanced,energy,industries,inc,provider,engineered,precision,power,conversion,measurement,control,solutions,company,engaged,designing,manufacturing,selling,supporting,products,transform,various,forms,applications,ranging,industrial,processes,instrumentation,test,also,provides,repair,maintenance,services,process,systems,include,direct,current,dc,pulsed,low,frequency,high,voltage,radio,rf,supplies,matching,networks,remote,plasma,sources,reactive,gas,refine,modify,raw,electrical,utility,convert,may,customized,predictable,repeatable,modules,thermal,used,semiconductor,industry,,,,,,,,,,,,,,,,,,,,,
31,aehr,test,systems,engaged,designing,manufacturing,marketing,advanced,burn,products,semiconductor,industry,company,manufactures,markets,full,wafer,contact,fixtures,die,carriers,related,accessories,principal,system,abts,fox,parallel,waferpak,contactor,diepak,carrier,develops,sells,designed,reduce,cost,testing,perform,reliability,screening,complex,logic,devices,memory,integrated,circuits,ics,sensors,optical,used,packaged,singulated,bare,still,form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,agen,agenus,inc,immuno,oncology,company,focuses,discovery,development,therapies,engage,body,immune,system,fight,cancer,developing,portfolio,driven,platforms,programs,antibody,including,retrocyte,display,secant,yeast,phage,technologies,designed,produce,human,antibodies,candidate,checkpoint,modulator,cpm,vaccine,prophage,autosynvax,phosphosynvax,saponin,based,adjuvants,principally,qs,stimulon,adjuvant,pipeline,includes,range,modulating,include,heat,shock,protein,hsp,candidates,synthetic,asv,psv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,afmd,affimed,n,v,clinical,stage,biopharmaceutical,company,focused,discovering,developing,cancer,immunotherapies,product,candidates,developed,field,immuno,oncology,represents,approach,research,seeks,harness,body,immune,system,fight,tumor,cells,pipeline,includes,fm,afm,tandab,trispecific,abs,started,recruitment,phase,iia,trial,patients,hodgkin,lymphoma,initiated,non,preclinical,development,epidermal,growth,factor,receptor,variant,iii,egfrviii,cd,nk,cell,additional,targeting,validated,solid,target,egfr,wild,type,treating,multiple,myeloma,specific,treat,acute,myeloid,leukemia,,,,,,,,,,,,,,,,
34,agncb,agnc,investment,corp,formerly,american,capital,agency,real,estate,trust,company,invests,residential,mortgage,backed,securities,leveraged,basis,investments,consist,pass,collateralized,obligations,cmos,principal,interest,payments,guaranteed,government,sponsored,enterprise,federal,national,association,fannie,mae,home,loan,corporation,freddie,mac,united,states,ginnie,collectively,gses,include,rmbs,announced,forward,contracts,tbas,non,credit,risk,transfer,crt,commercial,cmbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,agio,agios,pharmaceuticals,inc,clinical,stage,biopharmaceutical,company,therapeutic,areas,focus,cancer,rare,genetic,metabolic,disorders,group,diseases,caused,mutations,defects,single,genes,product,candidates,enasidenib,ivosidenib,ag,target,mutated,isocitrate,dehydrogenase,idh,respectively,targets,found,range,hematological,malignancies,solid,tumors,lead,candidate,disorder,rgd,programs,pyruvate,kinase,r,treatment,deficiency,often,results,severe,hemolytic,anemia,due,inherited,enzyme,within,red,blood,cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,agnc,investment,corp,formerly,american,capital,agency,real,estate,trust,company,invests,residential,mortgage,backed,securities,leveraged,basis,investments,consist,pass,collateralized,obligations,cmos,principal,interest,payments,guaranteed,government,sponsored,enterprise,federal,national,association,fannie,mae,home,loan,corporation,freddie,mac,united,states,ginnie,collectively,gses,include,rmbs,announced,forward,contracts,tbas,non,credit,risk,transfer,crt,commercial,cmbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,aimc,altra,industrial,motion,corp,designer,producer,marketer,range,mechanical,power,transmission,mpt,components,company,operates,three,segments,couplings,clutches,brakes,electromagnetic,gearing,manufactures,suitable,various,specialty,applications,segment,products,include,used,electronically,slow,stop,engage,disengage,equipment,utilizing,friction,type,connections,product,lines,vertical,horizontal,gear,drives,speed,reducers,increasers,high,compressor,enclosed,custom,drive,motor,configurations,open,spur,helical,worm,miter,bevel,gears,control,transmit,torque,virtually,application,involving,movement,,,,,,,,,,,,,,,,,,,
38,ainv,apollo,investment,corporation,closed,end,externally,managed,non,diversified,management,company,objective,generate,current,income,capital,appreciation,invests,primarily,various,forms,debt,investments,including,secured,unsecured,loan,equity,private,middle,market,companies,may,also,invest,securities,public,structured,products,collateralized,obligations,clos,credit,linked,notes,clns,portfolio,includes,interests,common,stock,preferred,warrants,options,united,states,loans,portion,opportunities,foreign,l,p,advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,akam,akamai,technologies,inc,engaged,providing,cloud,services,delivering,optimizing,securing,content,business,applications,internet,company,involved,offering,delivery,network,cdn,include,software,well,mobile,security,solutions,performance,media,service,support,web,enterprise,operator,offerings,adaptive,download,infinite,acceleration,analytics,offers,range,professional,designed,assist,customers,integrating,configuring,managing,core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,airt,air,inc,holding,company,operates,five,segments,overnight,cargo,ground,equipment,sales,support,services,printing,maintenance,leasing,segment,express,delivery,industry,manufactures,provides,mobile,deicers,specialized,products,passenger,airlines,airports,united,states,military,industrial,customers,facilities,domestic,aviation,service,providers,designs,sells,advanced,digital,print,production,contracts,spare,parts,supplies,consumable,items,systems,funding,transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,alco,alico,inc,agribusiness,natural,resources,management,company,segments,include,orange,co,conservation,environmental,operations,principal,lines,business,citrus,groves,cattle,ranching,segment,includes,activities,related,planting,owning,cultivating,managing,order,produce,fruit,sale,fresh,processed,markets,including,purchase,resale,value,added,services,contracting,harvesting,marketing,hauling,grazing,sod,native,plant,animal,sales,leasing,unimproved,pasture,land,consists,rock,mining,royalties,oil,exploration,insignificant,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,akba,akebia,therapeutics,inc,biopharmaceutical,company,focuses,development,commercialization,based,hypoxia,inducible,factor,hif,biology,lead,product,candidate,vadadustat,indicated,treatment,anemia,chronic,kidney,disease,ckd,involved,developing,oral,therapy,prolyl,hydroxylase,ph,inhibitor,phase,iii,addition,engaged,portfolio,candidates,target,serious,diseases,unmet,need,includes,developed,internally,akb,well,licensed,including,preclinical,compound,inflammatory,bowel,ibd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,aker,akers,biosciences,inc,develops,manufactures,supplies,point,care,screening,testing,products,designed,bring,health,related,information,patient,clinician,company,product,offerings,pipeline,focus,delivering,diagnostic,assistance,range,healthcare,fields,specialties,including,cardiology,emergency,medicine,metabolism,nutrition,diabetes,respiratory,diseases,infectious,detection,well,job,alcohol,safety,initiatives,primary,development,sale,disposable,devices,performed,minutes,facilitate,time,sensitive,therapeutic,decisions,main,include,breathalyzer,test,measures,blood,content,user,rapid,detecting,antibody,causing,allergic,reaction,heparin,free,radical,activity,human,body,,,,,,,,,,,,
44,aldx,aldeyra,therapeutics,inc,formerly,aldexa,biotechnology,company,principal,activities,include,raising,capital,research,development,segment,identification,treatment,diseases,related,high,levels,aldehydes,focused,products,caused,inflammation,inborn,errors,metabolism,naturally,occurring,toxic,pro,inflammatory,chemical,species,known,developed,series,aldehyde,traps,molecules,designed,sequester,allow,degradation,trap,ns,product,candidate,allergic,conjunctivitis,rare,ocular,noninfectious,anterior,uveitis,sjogren,larsson,syndrome,sls,succinic,semi,dehydrogenase,deficiency,,,,,,,,,,,,,,,,,,,,,,,,,
45,algn,align,technology,inc,designs,manufactures,markets,system,clear,aligner,therapy,intra,oral,scanners,computer,aided,design,manufacturing,cad,cam,digital,services,used,dentistry,orthodontics,dental,records,storage,company,operates,two,segments,segment,scanner,consists,invisalign,includes,full,teen,assist,comprehensive,products,express,lite,non,vivera,retainers,along,training,ancillary,treating,malocclusion,case,scanning,systems,available,provide,alternatives,traditional,cast,models,itero,orthocad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,alim,alimera,sciences,inc,pharmaceutical,company,engaged,research,development,commercialization,prescription,ophthalmic,pharmaceuticals,operates,u,international,segment,focuses,diseases,affecting,back,eye,retina,product,iluvien,developed,treat,diabetic,macular,edema,dme,disease,affects,individuals,diabetes,lead,severe,vision,loss,blindness,united,states,canada,lebanon,arab,emirates,indicated,treatment,patients,treated,course,corticosteroids,rise,intraocular,pressure,iop,european,economic,area,eea,countries,impairment,associated,considered,insufficiently,responsive,available,therapies,,,,,,,,,,,,,,,,,,,,,,,
47,alot,astronova,inc,formerly,astro,med,designs,develops,manufactures,distributes,range,specialty,printers,data,acquisition,analysis,systems,company,operates,two,segments,quicklabel,test,amp,measurement,offers,hardware,software,incorporate,technologies,order,acquire,store,analyze,present,multiple,formats,sells,printing,brand,names,including,segment,product,identification,label,printer,servicing,contracts,consumable,products,suite,services,record,visual,electronic,signal,local,networked,sensors,well,wired,wireless,networks,serves,markets,aerospace,apparel,automotive,avionics,chemicals,computer,peripherals,communications,distribution,food,beverage,,,,,,,,,,,,,,
48,alks,alkermes,plc,biopharmaceutical,company,engaged,researching,developing,commercializing,pharmaceutical,products,designed,address,medical,needs,patients,therapeutic,areas,portfolio,marketed,drug,clinical,pipeline,central,nervous,system,cns,disorders,schizophrenia,depression,addiction,multiple,sclerosis,ms,include,aristada,vivitrol,invega,sustenna,xeplion,trinza,trevicta,risperdal,consta,ampyra,fampyra,bydureon,aripiprazole,lauroxil,product,platforms,injectable,extended,release,microsphere,technology,linkerx,nanocrystal,oral,controlled,ocr,intramuscular,suspension,treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,alny,alnylam,pharmaceuticals,inc,biopharmaceutical,company,engaged,discovery,development,commercialization,ribonucleic,acid,rna,interference,rnai,therapeutics,focused,use,n,acetylgalactosamine,galnac,conjugate,platform,delivery,small,interfering,rnas,sirnas,pipeline,investigational,focuses,three,strategic,therapeutic,areas,stars,genetic,medicines,multiple,product,candidates,treatment,rare,diseases,cardio,metabolic,directed,toward,genetically,validated,liver,expressed,disease,targets,unmet,needs,cardiovascular,hepatic,infectious,designed,address,global,health,challenges,beginning,hepatitis,b,viral,infections,lead,patisiran,formulated,utilizing,lipid,nanoparticles,lnps,,,,,,,,,,,,,,,
50,alsk,alaska,communications,systems,group,inc,fiber,broadband,managed,information,technology,services,provider,company,focused,primarily,business,wholesale,customers,also,provides,telecommunication,consumers,across,facilities,based,network,extends,connects,contiguous,states,undersea,optic,cable,usage,rights,system,serves,various,areas,voice,consumer,including,carrier,termination,equipment,sales,access,support,receiving,federal,funding,residential,origination,inter,intrastate,carriers,serving,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,algt,allegiant,travel,company,leisure,focused,providing,services,products,residents,served,cities,united,states,also,provides,air,transportation,fixed,fee,flying,arrangements,include,scheduled,service,related,ancillary,third,party,contract,includes,limited,frequency,non,stop,flights,destinations,february,operating,fleet,consisted,md,aircraft,airbus,series,four,boeing,selling,routes,unbundled,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,amag,pharmaceuticals,inc,pharmaceutical,company,segment,manufacture,development,commercialization,products,services,use,treating,various,conditions,focus,maternal,health,anemia,management,cancer,supportive,care,offerings,including,product,makena,hydroxyprogesterone,caproate,injection,feraheme,ferumoxytol,intravenous,iv,mugard,mucoadhesive,oral,wound,rinse,engaged,digoxin,immune,fab,polyclonal,antibody,treatment,severe,preeclampsia,pregnant,women,drug,indicated,reduce,risk,preterm,birth,single,baby,history,singleton,spontaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,alxn,alexion,pharmaceuticals,inc,biopharmaceutical,company,focused,development,commercialization,therapeutic,products,include,soliris,eculizumab,strensiq,asfotase,alfa,kanuma,sebelipase,clinical,programs,cpmp,sbc,iv,subcutaneous,approved,patients,either,paroxysmal,nocturnal,hemoglobinuria,pnh,hemolytic,uremic,syndrome,ahus,result,chronic,uncontrolled,activation,complement,component,immune,system,treatment,hypophosphatasia,hpp,product,lysosomal,acid,lipase,deficiency,lal,recombinant,form,human,enzyme,replacement,therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,amat,applied,materials,inc,provides,manufacturing,equipment,services,software,global,semiconductor,display,related,industries,company,segments,systems,includes,capital,etch,rapid,thermal,processing,deposition,chemical,mechanical,planarization,metrology,inspection,wafer,packaging,ion,implantation,integrated,solutions,optimize,fab,performance,productivity,adjacent,markets,products,liquid,crystal,displays,organic,light,emitting,diodes,upgrades,roll,web,coating,technologies,televisions,personal,computers,smart,phones,consumer,oriented,devices,corporate,segment,revenues,well,costs,sold,fabricating,solar,photovoltaic,cells,modules,certain,operating,expenses,,,,,,,,,,,,,,,
